n,cig,codiceFiscale,ragioneSociale,ruolo,identificativoFiscaleEstero,aggrgrno,lottoID
1,5165777608,02231890787,OMNIA IMPIANTI,,,,idm3
2,5039705022,02818501203,KAPSCH TRAFFIC COM,,,,idm50
3,5181241F51,05999811002,ENEL SOLE S.R.L.,,,,idm68
4,46517097B2,02207100377,A.S.D. POLISPORTIVA PONTEVECCHIO,,,,idm83
5,5237361704,00283310373,L'OPEROSA,04-CAPOGRUPPO,,0,idm98
5,5237361704,,AGRI 2000-BO,03-ASSOCIATA,,0,idm98
5,5237361704,,AVOLA COOP-BO,03-ASSOCIATA,,0,idm98
5,5237361704,,SIC CONSORZIO DI INIZIATIVE SOCIALI-BO,03-ASSOCIATA,,0,idm98
5,5237361704,,C.I.M.S.-BO,03-ASSOCIATA,,0,idm98
5,5237361704,,AGRIVERDE --BO,03-ASSOCIATA,,0,idm98
5,5237361704,,GIOVETTI EMILIO-MO,03-ASSOCIATA,,0,idm98
6,512104867E,00291390375,COOP COSTRUZIONI,04-CAPOGRUPPO,,0,idm146
6,512104867E,,CIPEA & CARIIEE CO.ED.A. UNIFICA-BO,03-ASSOCIATA,,0,idm146
6,512104867E,,S.A.P.A.B.A.-BO,03-ASSOCIATA,,0,idm146
6,512104867E,,AVR-RM,03-ASSOCIATA,,0,idm146
7,55011951BA,02930110966,PROJECT AUTOMATION-,,,,idm183
8,5224773313,02293971202,SPORT INSTALLATIONS SOCIETÀ SPORTIVA DILETTANTISTICA A R.L.,,,,idm211
9,522465300D,04284090372,POLISPORTIVA ATLETICO BORGO PANIGALE A.S.D.,,,,idm226
10,Z500D3ED40,01933201202,GLOBAL NETWORK ENGINEERING SRL,,,,idm241
11,50888056BA,04245520376,HERA SPA,,,,idm256
12,5477007926,00470300377,COSEPURI SOC. COOP. P.A.,,,,idm271
13,57354345DC,01973900838,ENGINEERING TRIBUTI SPA,04-CAPOGRUPPO,,0,idm287
13,57354345DC,02391510266,ABACO SPA,03-ASSOCIATA,,0,idm287
13,57354345DC,03671470403,ESSEBI SRL,03-ASSOCIATA,,0,idm287
13,57354345DC,97103880585,POSTE ITALIANE SPA,03-ASSOCIATA,,0,idm287
14,5728152C8E,00947931002,DAB SISTEMI INTEGRATI,04-CAPOGRUPPO,,0,idm317
14,5728152C8E,,LA PATRIA S.R.L.-BO,03-ASSOCIATA,,0,idm317
15,5713860A6D,02032781201,MIELE SRL,,,,idm349
16,52581266D6,03079781203,BOLOGNA SERVIZI CIMITERIALI SRL,,,,idm365
17,520547912A,04129380376,COSTITUENDO RTI FORMATO DA PROMOTER SPORT (MANDATARIA) E FORTITUDO RUGBY BOLOGNA ASD(MANDANTE),,,,idm380
18,6009139260,00281620377,CONSORZIO COOPERATIVE COSTRUZIONI CCC,04-CAPOGRUPPO,,0,idm397
18,6009139260,00283460376,S.A.P.A.B.A.-BO,03-ASSOCIATA,,0,idm397
18,6009139260,02024101202,MELEGARI IMPRESA-BO,03-ASSOCIATA,,0,idm397
18,6009139260,04134540378,MONTANARI S.P.A.-BO,03-ASSOCIATA,,0,idm397
19,5814181DEE,02996251209,ING. FEDERICO VECCHI,,,,idm433
20,ZDF123C563,03375601204,RASPANTI DI PASINI MAURO,,,,idm459
21,6068164757,03088231208,C.G.M. COSTRUZIONI GENERALI E MANUTENZIONI,,,,idm476
22,620221126E,05351490965,GEMEAZ ELIOR,04-CAPOGRUPPO,,0,idm517
22,620221126E,,CAMST-BO,03-ASSOCIATA,,0,idm517
23,626619320C,03772490375,Cooperativa Sociale Società Dolce,,,,idm544
24,6266206CC3,00672690377,CADIAI Cooperativa Sociale,,,,idm559
25,63362273EE,05724831002,ENGINEERING INGEGNERIA INFORMATICA S.P.A.,04-CAPOGRUPPO,,0,idm574
25,63362273EE,,DATA MANAGEMENT - SOLUZIONI IT PER IL SETTORE PUBBLICO-ROMA,03-ASSOCIATA,,0,idm574
25,63362273EE,,SISTEMI INFORMATIVI-RM,03-ASSOCIATA,,0,idm574
26,6335598CDA,05528330961,QBE INSURANCE (EUROPE) LTD,,,,idm598
27,63356106C3,05528330961,QBE INSURANCE (EUROPE) LTD,,,,idm613
28,6003425707,00814371209,CIMS S.r.l.,,,,idm628
29,6420618D93,00228840278,KOSTRUTTIVA,04-CAPOGRUPPO,,0,idm669
29,6420618D93,,I.C.I. - IMPIANTI CIVILI E INDUSTRIALI-GO,03-ASSOCIATA,,0,idm669
30,6414728102,02973040963,KYOCERA DOCUMENT SOLUTIONS ITALIA S.P.A.,,,,idm789
31,6438997C68,02818501203,KAPSCH TRAFFIC COM,04-CAPOGRUPPO,,0,idm806
