n,cig,codiceFiscale,ragioneSociale,ruolo,identificativoFiscaleEstero,partrgrno,lottoID,ocid
1,Z8225EBBA4,T-IT-CF-97230720159,ATM S.p.A.,,,,idm3,ocds-xxxxxx-Z8225EBBA4
2,ZB426328D0,T-IT-CF-09864610150,CLASS PUBBLICITA’  SPA,,,,idm23,ocds-xxxxxx-ZB426328D0
2,ZB426328D0,T-IT-CF-00326930377,SPEED SPA Società Pubblicità Editoriale e Digitale Spa,,,,idm23,ocds-xxxxxx-ZB426328D0
3,Z9925D1E33,T-IT-CF-09320520969,ATS CITTA' METROPOLITANA DI MILANO,,,,idm46,ocds-xxxxxx-Z9925D1E33
4,Z56250E909,T-IT-CF-04705810150,Società  MANZONI & C. SPA,,,,idm66,ocds-xxxxxx-Z56250E909
4,Z56250E909,T-IT-CF-00777910159,Società  IL SOLE 24 ORE SPA,,,,idm66,ocds-xxxxxx-Z56250E909
5,ZE125D1FF5,T-IT-CF-03033240106,ECO ERIDANIA SPA,,,,idm89,ocds-xxxxxx-ZE125D1FF5
5,ZE125D1FF5,T-IT-CF-05522320968,ANECO SRL,,,,idm89,ocds-xxxxxx-ZE125D1FF5
5,ZE125D1FF5,T-IT-CF-08056320156,CAMPOVERDE,,,,idm89,ocds-xxxxxx-ZE125D1FF5
5,ZE125D1FF5,T-IT-CF-06317870969,MITAMBIENTE,,,,idm89,ocds-xxxxxx-ZE125D1FF5
5,ZE125D1FF5,T-IT-CF-12982690153,SOCIETA' ITALIANA AMBIENTE ECOLOGIA,,,,idm89,ocds-xxxxxx-ZE125D1FF5
6,Z5B25FBFBD,T-IT-CF-09864610150,CLASS PUBBLICITA' S.R.L. - VIA BURIGOZZO 5 - 20122 MILANO,,,,idm121,ocds-xxxxxx-Z5B25FBFBD
7,ZCB258DBAB,T-IT-CF-00743840159,AVVENIRE – NUOVA EDITORIALE ITALIANA S.P.A. – piazza Carbonari n. 3 – 20125 Milano,,,,idm141,ocds-xxxxxx-ZCB258DBAB
8,Z1B25AB9C3,T-IT-CF-00743840159,AVVENIRE – NUOVA EDITORIALE ITALIANA S.P.A. – piazza Carbonari n. 3 – 20125 Milano,,,,idm161,ocds-xxxxxx-Z1B25AB9C3
9,Z1025FC01D,T-IT-CF-12086540155,RCS MEDIA GROUP  S.P.A.,,,,idm181,ocds-xxxxxx-Z1025FC01D
10,Z5025F3091,T-IT-CF-12086540155,RCS MEDIA GROUP  S.P.A.,,,,idm201,ocds-xxxxxx-Z5025F3091
11,Z3A26145E5,T-IT-CF-08526500155,Società PIEMME spa,,,,idm221,ocds-xxxxxx-Z3A26145E5
11,Z3A26145E5,T-IT-CF-00326930377,Società  SPEED SPA Società Pubblicità Editoriale e Digitale Spa,,,,idm221,ocds-xxxxxx-Z3A26145E5
12,ZF9258AC42,T-IT-CF-09864610150,SOCIETA’ CLASS PUBBLICITA’ SPA,,,,idm244,ocds-xxxxxx-ZF9258AC42
12,ZF9258AC42,T-IT-CF-00326930377,SOCIETA' SPEED Società Pubblicità Editoriale e Digitale SPA,,,,idm244,ocds-xxxxxx-ZF9258AC42
12,ZF9258AC42,T-IT-CF-04705810150,SOCIETA’ A. MANZONI & C. SPA,,,,idm244,ocds-xxxxxx-ZF9258AC42
13,ZDC2650C2E,T-IT-CF-08526500155,PIEMME SPA CONCESSIONARIA DI PUBBLICITÀ,,,,idm270,ocds-xxxxxx-ZDC2650C2E
13,ZDC2650C2E,T-IT-CF-04705810150,A. MANZONI & C. SPA,,,,idm270,ocds-xxxxxx-ZDC2650C2E
14,Z86266D764,T-IT-CF-00892270158,CLO servizi S.C.L.R.,,,,idm293,ocds-xxxxxx-Z86266D764
15,Z05267D2EB,T-IT-CF-09864610150,CLASS PUBBLICITA’  SPA,,,,idm313,ocds-xxxxxx-Z05267D2EB
15,Z05267D2EB,T-IT-CF-00777910159,IL SOLE 24 ORE SPA,,,,idm313,ocds-xxxxxx-Z05267D2EB
16,Z0925D4ABA,T-IT-CF-09143390152,Bresciani srl,,,,idm336,ocds-xxxxxx-Z0925D4ABA
17,ZCD25989C0,T-IT-CF-12876360152,Colibrì System spa,,,,idm356,ocds-xxxxxx-ZCD25989C0
18,Z842549CCD,T-IT-CF-01221840323,DELEX S.r.L.,,,,idm376,ocds-xxxxxx-Z842549CCD
19,77563083D8,T-IT-CF-08066951008,VALORI S.C.AR.L. CONSORZIO STABILE,04-CAPOGRUPPO,,0.0,idm396,ocds-xxxxxx-77563083D8
19,77563083D8,T-IT-CF-07098560720,CO.PAN SRL,05-CONSORZIATA,,0.0,idm396,ocds-xxxxxx-77563083D8
19,77563083D8,T-IT-CF-01213720525,MFR SRLU,04-CAPOGRUPPO,,1.0,idm396,ocds-xxxxxx-77563083D8
19,77563083D8,T-IT-CF-01811810660,ERRECI SEGNALETICA SRL,03-ASSOCIATA,,1.0,idm396,ocds-xxxxxx-77563083D8
19,77563083D8,T-IT-CF-07920480634,SEVEN SERVICE SRL,04-CAPOGRUPPO,,2.0,idm396,ocds-xxxxxx-77563083D8
19,77563083D8,T-IT-CF-02290140819,FEGOTTO COSTRUZIONI SAS DI GIUSEPPE CRUCIATA E C.,03-ASSOCIATA,,2.0,idm396,ocds-xxxxxx-77563083D8
19,77563083D8,T-IT-CF-02526500612,VIA VAI ROAD SRL,04-CAPOGRUPPO,,3.0,idm396,ocds-xxxxxx-77563083D8
19,77563083D8,T-IT-CF-04365350158,IMPRESA BACCHI S.R.L.,03-ASSOCIATA,,3.0,idm396,ocds-xxxxxx-77563083D8
19,77563083D8,T-IT-CF-02768460657,I.T. S.R.L. INNOVAZIONE E TECNOLOGIE PER L'INDUSTRIA DELLE COSTRUZIONI E DEGLI IMPIANTI,03-ASSOCIATA,,3.0,idm396,ocds-xxxxxx-77563083D8
19,77563083D8,T-IT-CF-03654720402,CONSORZIO STABILE INVIA,04-CAPOGRUPPO,,4.0,idm396,ocds-xxxxxx-77563083D8
