n,cig,codiceFiscale,ragioneSociale,ruolo,identificativoFiscaleEstero,aggrgrno,lottoID
1,ZE2282B1A5,00769110545,TECNO ASFALTI S.R.L.,,,,idm3
2,ZE826AA4F0,00680600541,R.P.AUTORICAMBI DI PIERVITTORI ROSA LBA E C.S.N.C.,,,,idm23
3,Z632737472,00769110545,TECNO ASFALTI S.R.L.,,,,idm49
4,Z4327F475A,00680600541,R.P.AUTORICAMBI DI PIERVITTORI ROSA LBA E C.S.N.C.,,,,idm69
5,Z77277B250,00680600541,R.P.AUTORICAMBI DI PIERVITTORI ROSA LBA E C.S.N.C.,,,,idm89
6,Z7B28BEE3A,00680600541,R.P.AUTORICAMBI DI PIERVITTORI ROSA LBA E C.S.N.C.,,,,idm109
7,Z9D291C1DC,00150110542,MONNI & BETTI S.R.L.,,,,idm129
8,Z28290F9AF,00680600541,R.P.AUTORICAMBI DI PIERVITTORI ROSA LBA E C.S.N.C.,,,,idm149
9,Z0828C2292,01625330541,ESSEGIEMME SNC DI PALAZZETTI M. & C,,,,idm169
10,Z1626D5B60,02565340540,IMPRESA EDILE SISANI ALFIO,,,,idm189
11,Z2727D4BC4,03666140540,SQUARENTAL SRL,,,,idm209
12,Z28290F9AF,02844870549,R.P. AUTORICAMBI S.R.L.,,,,idm229
13,Z4829F7699,01163460544,SOCIETA' AUTO FORNITURE INDUSRIALI SRL,,,,idm249
14,Z4E295D656,03517100545,ACCADEMATICA S.R.L.,,,,idm269
15,Z5B26A3D3E,00561830548,MA.C. S.R.L MATERIALI EDILI,,,,idm289
16,Z5E26AE5B6,03472580541,OFFICINA UMBRA TIR SRL,,,,idm309
17,Z602983D0A,01802080547,ECOCAVE SRL,,,,idm329
18,Z642762210,00150110542,MONNI & BETTI S.R.L.,,,,idm349
19,Z7B28BEE3A,00680600541,R.P.AUTORICAMBI DI PIERVITTORI ROSA LBA E C.S.N.C.,,,,idm369
20,Z7B28BEE3A,00680600541,R.P.AUTORICAMBI DI PIERVITTORI ROSA LBA E C.S.N.C.,,,,idm389
